replicate,K,p_value_K,lambda,logL,p_value_lambda
64,0.00691142040192979,0.03,0.7142322440339848,976.2864918432,1.6304765376499675e-10
65,0.00640227440661337,0.03,0.6742243016141336,1011.810421630702,2.41547364044601e-12
66,0.00805666815008989,0.01,0.7788235341007578,1056.7158075625816,3.125679444351872e-16
67,0.0082590845468671,0.01,0.7235339115317013,1000.8687528717523,1.805093172865024e-12
68,0.00672825317130163,0.02,0.636892519396589,1035.2458652078576,2.0751079164909407e-11
69,0.00726970728143643,0.01,0.6862635633978562,1023.3572328680352,3.841588668592528e-12
70,0.00630023064272024,0.04,0.6825606164057219,1057.2634892939004,4.929234580733096e-13
71,0.00779170838508915,0.01,0.6776253296879222,991.726476801046,2.8650302543615543e-11
72,0.00680394401753181,0.03,0.5995085916474582,1041.452903357134,1.3402084675981942e-10
73,0.00719462971244057,0.01,0.7606714845663033,1004.1490335062084,9.611807463229365e-17
74,0.00634084293153293,0.01,0.6830807255344168,961.0359066107616,3.2619736258224394e-12
75,0.0063853642626935,0.02,0.737635929290785,1014.650048701511,4.288985867842236e-13
76,0.00779359939090366,0.02,0.7907461237486901,1031.9437884579388,8.209702417124906e-17
77,0.00563540325075572,0.07,0.4936254288582273,997.2407139940142,4.1051967015346327e-8
78,0.00820221867796526,0.01,0.7333472723842586,999.1883296683832,1.7495564958517782e-14
79,0.0070439784463473196,0.03,0.6540267245144004,1000.6018923108322,8.239444027734007e-12
80,0.00709307939584046,0.01,0.7342647296883618,1059.341561258565,3.0510191285404363e-13
81,0.00789233131062985,0.02,0.7840970554719275,1041.864198335561,2.256488153146427e-17
82,0.00643459342371987,0.04,0.7485976162831716,1031.5131440492787,1.8969693400574866e-13
83,0.00685613057460398,0.01,0.6421520593655036,964.8693300276418,1.0907614523525148e-8
84,0.00634150303131247,0.03,0.7245159285066849,978.866388022102,9.120338968769328e-11
85,0.00706571709429207,0.02,0.6243675248022854,990.6464834989732,1.0168832066041869e-11
86,0.00630088041931459,0.01,0.6795682389245273,1006.572919106106,1.9735253470672882e-13
87,0.00745597829326631,0.02,0.673372800716925,1007.5143689009996,6.678059938776184e-12
88,0.00606212489449446,0.04,0.7646754631946133,1022.291493505893,5.5905471836750804e-18
89,0.00798067914554202,0.01,0.7775485329386014,1016.4426305691054,5.652414748986926e-16
90,0.00782403001965751,0.03,0.7575913078845601,1025.3055623578723,7.153719482434062e-16
91,0.00683302833876473,0.01,0.7338958607780918,984.0191637098172,5.516967500179853e-13
92,0.00673852112485386,0.01,0.6040071098710188,984.1988826498992,1.0835620504885152e-8
93,0.00571707633191023,0.07,0.6210311988541849,1037.8926407196705,1.1495741462607166e-10
94,0.00656582617596308,0.01,0.5474853819441735,1010.4053718721228,1.0582082118615089e-8
95,0.006916285568318,0.01,0.6958541527835271,1008.749988265372,3.686156665838007e-12
