Species,rates
Eucrosia,0.11181193767544946
Pamianthe,0.10317405314465597
Clinanthus,0.06542053815569535
Paramongaia,0.07781190827516014
Ismene,0.11989140437079697
Leptochiton,0.07750080014315854
Hymenocallis,0.07305526618173702
Griffinia,0.0562989872894572
Worsleya,0.05939934082805514
Rhodophiala,0.0876888612058919
Placea,0.08865165295215954
Sprekelia,0.1903194259395729
Habranthus,0.11131953678741324
Zephyranthes,0.11819202525938252
Hippeastrum,0.1341869087136153
Phycella,0.11198163500441392
Traubia,0.10584826112212048
Ungernia,0.044262632980265094
Lycoris,0.03761808191703256
Vagaria,0.09982120061731627
Lapiedra,0.06655909869779128
Hannonia,0.07508092835124133
Acis,0.0632708786925672
Leucojum,0.044748049826803075
Galanthus,0.06155201952838915
Pancratium,0.0498114771603245
Sternbergia,0.031024633206961923
Narcissus,0.05977665388352836
Aphyllanthes,0.02431585211295882
Muilla,0.009323125767466004
Androstephium,0.00986865680212187
Triteleia,0.012611989728531654
Bloomeria,0.010050126923987771
Dandya,0.010523547808325685
Bessera,0.009297858220967696
Triteleiopsis,0.0119787806691306
Dichelostemma,0.010537667574230207
Brodiaea,0.008570461825014076
Oziroe,0.01776050448832834
Ornithogalum,0.017095645138748162
Pseudogaltonia,0.01208603300100849
Dipcadi,0.012382906773711882
Albuca,0.016806389250104477
Bowiea,0.014003639031086191
Drimia,0.013534451285038216
Pseudoprospero,0.028049102535843792
Barnardia,0.029746026220399204
Brimeura,0.026309685384731177
Scilla,0.018325679549455628
Hyacinthoides,0.024044088160428884
Muscari,0.031949110552947885
Hyacinthella,0.03534463461163681
Puschkinia,0.045393444680305026
Prospero,0.03234897320389497
Hyacinthus,0.04629141987583859
Schizocarphus,0.025886182081326908
Eucomis,0.021397209193104963
Ledebouria,0.02083523676868779
Resnova,0.017316062968348186
Spetaea,0.030213107352833498
Daubenya,0.021725623673940056
Merwilla,0.020430555130395153
Veltheimia,0.03070971274469614
Lachenalia,0.021620504202990828
Massonia,0.01879657182267953
Anemarrhena,0.016426916338090212
