species,RL.cat,TBL,pext,ED,EDGE
Scolymus_maculatus,LC,6.324183545,0.08394240683816744,6.324183545000006,0.5308671880536344
Cichorium_pumilum,LC,1.733009,0.08362634573137052,1.740583187718075,0.14555861143032275
Cichorium_intybus,LC,0.707123,0.06821828324811209,0.7666487334624077,0.05229946045114492
Cichorium_spinosum,LC,0.707123,0.04897309106865647,0.7900408485016864,0.03869074242163172
Arnoseris_minima,LC,3.633141,0.0322479623173391,3.651461613461313,0.11775219651411065
Tolpis_barbata,LC,3.633141,0.05029540360156062,3.644887649002189,0.18332109538890853
Chondrilla_juncea,LC,2.9068335,0.027745189155739418,2.906833967730155,0.08065065827900168
Catananche_lutea,LC,0.93051,0.010545499426137214,0.9723270636099572,0.010253674491316487
Catananche_caerulea,LC,0.93051,0.02340066560098212,0.9493548409041425,0.02221553516867142
Carlina_corymbosa,LC,1.654948,0.027128024179614317,1.6786307682878874,0.045537936070758366
Doronicum_austriacum,NT,0.515629,0.14517666222261524,0.6949850459615462,0.10089560926732812
Doronicum_grandiflorum,NT,0.515629,0.15353964324904235,0.6852158998465036,0.10520780481100368
Echinops_strigosus,LC,4.322942,0.07502754724927839,4.3795692141556755,0.32858833614655
Echinops_ritro,LC,4.322942,0.049398803478108363,4.408948151698447,0.21779676329092068
Staehelina_dubia,LC,3.391719152,0.013227041758048442,3.391719152,0.04486241085507665
Onopordum_acanthium,LC,0.314454,0.0033990131583315777,0.39428413857085187,0.0013401769751237567
Onopordum_nervosum,LC,0.314454,0.03366289141579836,0.32251461749367183,0.010856774548697217
Cynara_humilis,LC,1.75243645,0.05115837181768086,1.7524364500007437,0.08965179549599474
Picnomon_acarna,LC,0.952311,0.00955535201878221,0.9683329104370609,0.009252761830598023
Notobasis_syriaca,LC,0.952311,0.07348356176690511,0.9543943910409126,0.07013229918404269
Silybum_marianum,LC,0.7810193571,0.07289399558807243,0.7810193720397436,0.056931622659664165
Tyrimnus_leucographus,LC,0.574705,0.08281060760034556,0.5763379093897486,0.04772689245967799
Carduus_tenuiflorus,LC,0.574705,0.08947978308651876,0.5762162041408353,0.051559700957459154
Cirsium_palustre,LC,0.144452,0.09157247710310638,0.14513022951587465,0.013289934619311005
Cirsium_heterophyllum,NT,0.139846,0.16969989937830815,0.14076175832310772,0.023887256223745112
Cirsium_oleraceum,NT,0.139846,0.11936084212944466,0.14114796882422878,0.01684754042372055
Cirsium_arvense,LC,0.126088,0.0913411469600097,0.12765916450796072,0.011660534506113693
Cirsium_vulgare,LC,0.126088,0.030533287349908882,0.13078818071016574,0.0039933931035953
Crupina_vulgaris,LC,0.8662036786,0.00376130677621498,0.8662036786,0.003258057765900523
Cyanus_segetum,LC,0.255887,0.08823162297471968,0.2581624080061116,0.02277808824944099
Cyanus_montanus,LC,0.255887,0.01679111452613072,0.26784349883731456,0.00449739086405691
Carthamus_arborescens,LC,0.2242145,0.04072490055385897,0.2267747750364323,0.009235380161482445
Carthamus_lanatus,LC,0.2242145,0.029963012953882963,0.22769435519379222,0.006822408914197625
Centaurea_clementei,VU,0.039586,0.19515661147153088,0.039770019151848135,0.007761382175832568
Centaurea_ornata,LC,0.026011,0.02694108929743128,0.0278890860096437,7.513623566095523e-4
Centaurea_lagascana,LC,0.026011,0.040153441085365955,0.027271108262863376,0.0010950288389655212
Centaurea_melitensis,LC,0.072543,0.07163874384718359,0.07711455089705545,0.005524389558604757
Centaurea_solstitialis,LC,0.072543,0.07651737754228595,0.07682307564056322,0.005878300282748567
Centaurea_diluta,LC,0.1146075,0.009953416620375194,0.11621841997317,0.0011567703529546947
Centaurea_involucrata,LC,0.1146075,0.0909030360676814,0.11478388748196601,0.01043420386376184
Centaurea_benedicta,LC,0.0276255,0.07138590599469832,0.03137983466227787,0.002240077927330544
Centaurea_diffusa,LC,0.0276255,0.08187284583636373,0.030898948950457403,0.0025297848839264717
Centaurea_calcitrapa,LC,0.06939425,0.05698415888982937,0.06981342459717783,0.003978259279888704
