ext_fraction,Genus,age,mean_age,richness,threatened_species,proportion_threatened,ev.dist,lambda_a,lambda_mean
int_ex,Meum,20.8788620000001,17.033905363558326,1,1,1,83.01324873019796,0,0
int_ex,Mibora,0.464780999999992,0.4632848531949222,1,1,1,63.611827373284875,0,0
int_ex,Microcnemum,9.4141760000001,8.69570526908721,1,1,1,71.58721920679571,0,0
int_ex,Micromeria,4.01949199999994,3.898723887739857,2,1,0.5,66.17630928504826,0.17244646352324017,0.17778822007366418
int_ex,Micropyrum,1.54934499999999,1.5322881377410564,2,1,0.5,64.69639380011513,0.44738078385378965,0.45236086052444613
int_ex,Milium,0.855236000000049,0.8501219285084889,2,2,1,64.0022832415837,0.810474746806619,0.8153503130733839
int_ex,Misopates,2.05869100000005,2.02823412064763,3,2,0.6666666666666666,64.2162731356913,0.533646034624955,0.5416595044349786
int_ex,Moenchia,7.56998800000005,7.116371129698928,2,2,1,69.74003982660776,0.09156516239655078,0.09740177513609669
int_ex,Molinia,2.19137599999999,2.156767647168852,1,1,1,65.33881811141934,0,0
int_ex,Moluccella,1.07809899999994,1.0699293220106576,1,1,1,63.23491027818835,0,0
int_ex,Monotropa,43.746853,26.967910138135323,1,0,0,105.90471018387066,0,0
int_ex,Montia,34.4603610000001,23.84258237294935,2,2,1,96.63097135729434,0.020114333119143565,0.029071816538897934
int_ex,Moricandia,1.57020400000011,1.5526765129416151,5,5,1,63.67019540165323,1.024986506488321,1.0365571315205562
int_ex,Muscari,20.448732,16.7666250492608,7,6,0.8571428571428571,83.234777784565,0.09516043092820196,0.11605854746188791
int_ex,Myosotis,8.02008200000005,7.507776332115399,13,13,1,70.19222581800187,0.31981585194035683,0.341639021195885
int_ex,Myosurus,16.1826990000001,13.926543368388984,1,1,1,78.14957720249208,0,0
int_ex,Myricaria,29.9392320000001,21.90540259678753,1,1,1,92.09185177662644,0,0
int_ex,Myriophyllum,89.629774,32.94159153023173,3,3,1,151.76527882598305,0.012257224799742436,0.033350309976974614
int_ex,Myrrhoides,9.80883500000011,9.025236707098038,1,1,1,71.94322848699163,0,0
int_ex,Myrtus,86.492894,32.7960329083955,1,1,1,148.5888554802477,0,0
int_ex,Najas,77.4845929999999,32.25129184481362,1,1,1,140.61697948430378,0,0
int_ex,Narcissus,7.12263899999999,6.723591497116782,16,13,0.8125,69.92428233362844,0.38926424914133445,0.41236721823875316
int_ex,Nardus,6.00332499999994,5.72460135659411,1,1,1,69.15045978484359,0,0
int_ex,Neatostema,5.7469620000001,5.492579749166032,1,1,1,67.91848009734566,0,0
int_ex,Neotinea,8.82874600000005,8.201368890488364,1,1,1,71.74638825626842,0,0
int_ex,Neotorularia,5.40457900000005,5.180862211137438,1,1,1,67.50458311251748,0,0
int_ex,Nepeta,2.98499899999999,2.919714921751411,8,7,0.875,65.14181628004073,0.6966305655981267,0.7122070467182695
int_ex,Nerium,11.8155920000001,10.65409061723499,1,1,1,73.97614092214242,0,0
int_ex,Neslia,4.17783300000016,4.0469810912214585,1,1,1,66.27778524012756,0,0
int_ex,Nigella,35.2001180000001,24.131604938448312,4,4,1,97.16628778751914,0.03938323050848541,0.0574472508005939
int_ex,Nolletia,18.0402090000001,15.205857326609141,1,1,1,80.17457127552731,0,0
int_ex,Notobasis,0.952313999999992,0.9459583647187918,1,1,1,63.086816485706336,0,0
int_ex,Notoceras,0.210741000000104,0.2104353486576935,1,1,1,62.310731515992195,0,0
int_ex,Odontites,11.4052209999999,10.327382738352824,6,2,0.3333333333333333,73.56208617754011,0.15709993425187208,0.1734959877659994
int_ex,Oenanthe,15.509435,13.446354256144488,4,4,1,77.64384266300446,0.08938393701123803,0.10309815840873039
int_ex,Olea,15.941583,13.75558682783564,1,1,1,78.09970353519685,0,0
int_ex,Onobrychis,26.9559250000001,20.45507448702989,7,7,1,89.05185231379791,0.07218858744618506,0.0951309246167337
int_ex,Ononis,10.9822910000001,9.987234101455547,42,39,0.9285714285714286,73.0782313671119,0.34033605722916416,0.37424471883948707
int_ex,Onopordum,2.68591500000005,2.633379370823778,6,5,0.8333333333333334,64.82041717354807,0.6670946285448429,0.6804030931052497
int_ex,Ophioglossum,92.38551,33.054209229316434,3,1,0.3333333333333333,182.14206882354432,0.011891608204231484,0.033236683444652755
int_ex,Ophrys,10.598793,9.675785129796264,12,11,0.9166666666666666,73.51600311588756,0.23445185218618764,0.25681705582070147
int_ex,Orlaya,6.68032100000011,6.3315731850457,2,2,1,68.81471481525503,0.10375956193720838,0.10947471667816508
int_ex,Ornithogalum,39.6078800000001,25.704304834650138,6,5,0.8333333333333334,102.39275590300372,0.04523744944763644,0.06970659120151391
int_ex,Ornithopus,5.0951900000001,4.897385350547689,3,3,1,67.19125516977726,0.215617531175106,0.22432629046543145
int_ex,Orobanche,27.4660079999999,20.713278165766532,22,18,0.8181818181818182,89.62281576986055,0.11254065218936539,0.14922999771552223
int_ex,Osmunda,239.282506,33.92631414932057,1,1,1,284.1958817121807,0,0
int_ex,Osyris,27.653283,20.80700024426753,2,2,1,89.91114111299355,0.025065637977232047,0.03331317212585279
int_ex,Paeonia,108.091554,33.49215338579661,3,3,1,170.202301100153,0.010163719994886092,0.03280207981891097
int_ex,Pancratium,4.60681099999999,4.446473828801548,1,1,1,67.40860788758353,0,0
int_ex,Panicum,0.908479999999985,0.9027020058336254,1,1,1,64.05381959251007,0,0
int_ex,Papaver,91.665768,33.02607574423484,8,6,0.75,153.60739507209544,0.02268503921420083,0.06296362782498709
int_ex,Parapholis,0.351802000000049,0.3509472120955141,3,1,0.3333333333333333,63.498851966190756,3.1228142212607,3.130420333326684
int_ex,Parentucellia,3.54486299999994,3.4517714068209098,2,2,1,65.7017421699851,0.1955356753025313,0.20080912055480973
int_ex,Parietaria,26.838168,20.394853115252445,3,3,1,88.926573538476,0.04093469750499027,0.05386713414702184
int_ex,Parnassia,58.194018,30.099926379388528,1,1,1,120.28969148964975,0,0
int_ex,Paronychia,33.0830470000001,23.284096754972488,11,11,1,95.25276986193842,0.07248108896373309,0.10298425135543567
int_ex,Pastinaca,2.40355100000005,2.3617279265498987,1,1,1,64.53794192257851,0,0
int_ex,Pedicularis,27.4660079999999,20.713278165766532,3,3,1,89.62281576986055,0.039998979417326094,0.05303903514817949
int_ex,Peganum,73.8340640000001,31.964196632436245,1,1,1,135.92663241929424,0,0
int_ex,Petrorhagia,6.42060299999999,6.099709315224,4,4,1,68.5906702453354,0.2159134213904664,0.22727220093257539
int_ex,Phagnalon,15.136139,13.176304206848467,3,3,1,77.27050180315334,0.07258206922307663,0.08337787830498776
int_ex,Phalaris,1.44754299999999,1.4326883564755433,6,6,1,64.59458965675545,1.237793605597946,1.250627508159442
int_ex,Phillyrea,15.941583,13.75558682783564,2,2,1,78.09970353519685,0.04348044862043784,0.050390229747036386
int_ex,Phleum,1.44616800000005,1.4313420281568012,5,5,1,64.59321485069458,1.1128983025720696,1.1244258051352272
int_ex,Phlomis,2.50500299999994,2.459477757667454,4,4,1,64.66181474939874,0.5534102598359858,0.5636539532826024
int_ex,Phragmites,2.19137599999999,2.156767647168852,1,1,1,65.33881811141934,0,0
int_ex,Physospermum,33.0697210000001,23.278561309208484,1,0,0,95.20405068367523,0,0
int_ex,Picnomon,0.952313999999992,0.9459583647187918,1,1,1,63.086816485706336,0,0
int_ex,Picris,4.9522390000001,4.76583467233603,2,2,1,67.08661309823107,0.13996642338141016,0.14544087829639105
int_ex,Pilosella,13.1294690000001,11.677923190384615,5,5,1,75.26385361007009,0.12258210232524164,0.13781884725524499
int_ex,Pimpinella,18.6502380000001,15.611549345888537,5,4,0.8,80.78462649338545,0.08629583774931406,0.103092772970542
int_ex,Pinguicula,39.951204,25.816606230786462,5,5,1,102.10794589510854,0.040285091594088135,0.0623411883826479
int_ex,Pinus,237.574622,33.92622161001711,5,5,1,279.1588715891962,0.006774452165324713,0.04743935033304431
int_ex,Piptatherum,1.538225,1.521416328953985,3,3,1,64.68532751381092,0.7142077970830729,0.7220983946080265
int_ex,Pistacia,11.47358,10.382033780355945,2,2,1,73.56813964070307,0.060412458932603885,0.06676410376081254
int_ex,Pisum,9.87188800000005,9.077606104109279,1,1,1,71.96782973545653,0,0
int_ex,Plantago,5.72116000000005,5.469161968349103,19,17,0.8947368421052632,67.878658135087,0.5146576881552718,0.5383711428197537
int_ex,Plumbago,36.790271,24.727841355991487,1,1,1,98.94087265073634,0,0
int_ex,Poa,0.855236000000052,0.8501219285084927,12,12,1,64.0022832415837,2.905521575083193,2.923000297319323
int_ex,Polycarpon,25.90977,19.91192912912722,4,3,0.75,88.07960162088737,0.053504695762250705,0.06962129847539562
int_ex,Polygala,72.0487970000001,31.806969454173593,7,6,0.8571428571428571,134.14218581918894,0.027008225398340937,0.06117873480084026
int_ex,Polygonatum,44.245281,27.10736899362861,1,1,1,107.02767489468005,0,0
int_ex,Polygonum,13.5932980000001,12.031276023063015,11,11,1,75.74644968203212,0.17640275912426498,0.1993051500274612
int_ex,Polypodium,52.666945,29.103991026563016,3,3,1,105.97561870157801,0.020859616760913507,0.037747822546585236
int_ex,Polypogon,0.19710099999999,0.1968337260224006,3,3,1,63.344147499315106,5.573854463793515,5.5814230156019224
int_ex,Polystichum,52.6669450000001,29.103991026563037,3,3,1,105.97561870157801,0.02085961676091347,0.03774782254658521
int_ex,Populus,33.6401860000002,23.513246723406148,2,1,0.5,95.72541477768024,0.02060473686322487,0.029479007672298836
int_ex,Portulaca,34.4603610000001,23.84258237294935,1,1,1,96.63097135729434,0,0
int_ex,Posidonia,59.2657759999999,30.26894456470005,1,1,1,122.5217141688741,0,0
int_ex,Potamogeton,38.3958639999999,25.29643183395543,7,4,0.5714285714285714,101.70318866301473,0.050680202145088296,0.07692429358528406
int_ex,Potentilla,46.1879110000001,27.626587412747813,11,11,1,108.27601740637138,0.05191607978976069,0.08679665124661409
int_ex,Prasium,0.527527999999881,0.5255976372099687,1,1,1,62.68433952862117,0,0
int_ex,Primula,29.29965,21.606461181516462,4,2,0.5,91.4626812822919,0.04731436590948665,0.06416110206449795
int_ex,Prunella,3.06288400000005,2.994041025510686,3,3,1,65.21970077539845,0.35868556846034383,0.36693294424070966
int_ex,Prunus,26.226202,20.078157821898607,5,5,1,88.31548858948702,0.06136755571523853,0.08015864436919296
int_ex,Pseudorlaya,0.749778000000109,0.7458573245658844,2,2,1,62.884172491998974,0.9244698838320737,0.9293294544816353
int_ex,Pteranthus,25.90977,19.91192912912722,1,0,0,88.07960162088737,0,0
int_ex,Pteridium,104.219368,33.410293731011656,1,1,1,157.11726036173425,0,0
int_ex,Pteris,43.0478870000001,26.767903180173967,1,1,1,97.50451701928634,0,0
int_ex,Puccinellia,0.946127000000047,0.9398545997718843,3,3,1,64.09317322727534,1.1611678862013823,1.1689172867109
int_ex,Pulicaria,0.49760999999999,0.4958936460084123,5,5,1,62.632098465174664,3.234335950712672,3.245530418445406
int_ex,Pycreus,5.03634000000004,4.843272264757035,3,3,1,68.13904170848843,0.2181370377433019,0.22683265127636226
int_ex,Quercus,62.305397,30.710443046010674,9,8,0.8888888888888888,124.39335023323669,0.03526539727106176,0.07154649556974209
int_ex,Radiola,17.872612,15.093154342269289,1,1,1,79.96236636417673,0,0
int_ex,Ranunculus,19.7339480000001,16.314840251014754,33,30,0.9090909090909091,81.70071832695803,0.17718236419121314,0.21431454477459586
int_ex,Raphanus,1.88997600000011,1.8644010620838558,1,1,1,63.98996737872481,0,0
int_ex,Rapistrum,0.958208000000049,0.9517725502123365,1,1,1,63.058199411926346,0,0
int_ex,Reichardia,4.53726100000005,4.381920490989472,4,4,1,66.67163572182984,0.30553551164896076,0.3163668450786642
int_ex,Reseda,77.167326,32.22805270557356,15,13,0.8666666666666667,139.26231924349727,0.0350932232782332,0.08402773279050386
