ext_fraction,Genus,age,mean_age,richness,threatened_species,proportion_threatened,rates
low_ex,Theligonum,13.9559680000003,12.652676293447596,1,0,0,0.061940581783714956
low_ex,Thelypteris,31.6222420000003,25.73670148974631,1,0,0,0.016833860745085236
low_ex,Thesium,9.85764800000011,9.18490875332086,5,1,0.2,0.020166281494249566
low_ex,Thlaspi,9.01467600000023,8.447989980255986,8,1,0.125,0.049641702197371296
low_ex,Thymbra,3.94549375000023,3.831904661148859,1,0,0,0.15946176226711495
low_ex,Thymelaea,8.96045250000034,8.40030101183905,22,5,0.2272727272727273,0.03476819592629497
low_ex,Thymus,3.56888850000023,3.4756231984205113,43,5,0.11627906976744186,0.0826251606640611
low_ex,Tilia,8.39272700000028,7.898882655647043,2,0,0,0.01756962870600052
low_ex,Tofieldia,52.1108965000003,37.953087845622505,2,0,0,0.0032938694781775987
low_ex,Tolpis,3.63314100000034,3.536545100250412,3,1,0.3333333333333333,0.10313136643195778
low_ex,Tordylium,3.75406237500011,3.651045449502587,3,0,0,0.14030326617369165
low_ex,Torilis,10.0023145000001,9.31053840138356,8,0,0,0.03186383462120499
low_ex,Tozzia,6.86600700000023,6.531021006011824,1,1,1,0.025139666927400797
low_ex,Trachelium,9.34512050000023,8.737858577232572,1,0,0,0.04073890900184361
low_ex,Traganum,10.2243564500002,9.50288946281817,1,1,1,0.04933155576006729
low_ex,Tragopogon,16.4502490000003,14.675022348854672,11,1,0.09090909090909093,0.039561431822913176
low_ex,Tragus,0.382973000000341,0.3818658908432122,1,0,0,0.9877718661340408
low_ex,Trapa,16.6152460000002,14.806563550548002,1,1,1,0.012529303379898797
low_ex,Tribulus,8.74477300000023,8.210266414934202,1,0,0,0.020410434611275872
low_ex,Trichophorum,4.35866750000023,4.220570904857428,1,0,0,0.04632941621881197
low_ex,Trifolium,13.3800316250003,12.176480308755384,60,5,0.08333333333333333,0.047733277147076224
low_ex,Triglochin,30.8694945000003,25.23299932468353,5,2,0.4,0.008443584962172538
low_ex,Trigonella,5.51747500000028,5.298518947367559,5,0,0,0.03771230577922143
low_ex,Triplachne,0.148429000000171,0.14826231821289038,1,0,0,1.0555814243522934
low_ex,Tripleurospermum,5.55293800000034,5.3312295239289735,3,0,0,0.04516033888191203
low_ex,Tripodion,3.13529800000023,3.0630256225926016,1,0,0,0.12823436641500308
low_ex,Trisetum,0.488788000000171,0.486986448150969,15,3,0.2,0.5332483861612785
low_ex,Trollius,38.7321640000003,30.28975759081264,1,0,0,0.009251105850565176
low_ex,Tuberaria,18.1827600000003,16.042801772720978,3,2,0.6666666666666666,0.012387095163794182
low_ex,Tulipa,15.2218702500003,13.68706974221575,2,0,0,0.018004919861732808
low_ex,Tussilago,3.60028325000023,3.505397622935528,1,0,0,0.13250198049105352
low_ex,Typha,43.0293775000002,32.872981766189646,3,0,0,0.006775694173554347
low_ex,Tyrimnus,0.574705000000227,0.5722165320204172,1,0,0,0.4138217723950866
low_ex,Ulex,2.30214000000034,2.262867153070915,15,5,0.3333333333333333,0.151530747947914
low_ex,Ulmus,38.1071580000002,29.903799664886165,2,0,0,0.006963129489206685
low_ex,Umbilicus,16.9526552500002,15.074711673417426,3,0,0,0.030832379275488712
low_ex,Urospermum,16.5593543500003,14.76203534928882,2,0,0,0.05083440748431703
low_ex,Urtica,4.60350600000034,4.449805667033406,4,0,0,0.021707287615212553
low_ex,Utricularia,39.9512015000002,31.034950415522857,4,2,0.5,0.01909099547720209
low_ex,Vaccaria,4.77588000000023,4.610715150270609,1,0,0,0.042437723638920476
low_ex,Vaccinium,10.8897589000002,10.075920310361358,3,0,0,0.05514947161735455
low_ex,Valantia,4.61422100000028,4.459819527858817,3,0,0,0.043526583822081015
low_ex,Valeriana,17.7176670000003,15.67851530852474,12,2,0.16666666666666666,0.012144914575562717
low_ex,Valerianella,8.04573650000028,7.590506713602782,12,0,0,0.015225910416032797
low_ex,Vandenboschia,27.4392995000003,22.881893356476496,1,1,1,0.005470883734697363
low_ex,Velezia,4.34295200000006,4.205829586515356,1,0,0,0.03278552834443105
low_ex,Ventenata,0.77527500000017,0.7707553304644275,1,0,0,0.3659278358698321
low_ex,Veratrum,14.6658960000004,13.234831543833986,1,0,0,0.01214682707723605
low_ex,Verbascum,8.11894400000034,7.655688958157478,25,4,0.16,0.03728700153931568
low_ex,Verbena,5.71325000000023,5.478895608381678,2,0,0,0.039302138017571514
low_ex,Veronica,4.89907312500017,4.725473407508783,43,6,0.13953488372093023,0.0815255567671305
low_ex,Viburnum,75.3851280000002,48.956983378952685,3,0,0,0.009713698188775554
low_ex,Vicia,12.9454843333336,11.814835517037508,39,6,0.15384615384615383,0.04734896341124821
low_ex,Vinca,4.57304150000023,4.421326268941391,2,0,0,0.03732741765442999
low_ex,Vincetoxicum,0.141292000000227,0.14114095159367543,2,0,0,1.9762844013813872
low_ex,Viola,18.0631212500002,15.949294779159644,28,3,0.10714285714285714,0.013344014279130198
low_ex,Viscum,11.7790234166668,10.833897439680928,1,0,0,0.05119159842251355
low_ex,Vitex,9.38639300000023,8.773972499097837,1,0,0,0.03268483100959338
low_ex,Vitis,19.3090450000003,16.916341477040035,1,0,0,0.016332523252597233
low_ex,Vulpia,1.54934150000017,1.5314253738903698,10,0,0,0.2402412852084196
low_ex,Wahlenbergia,9.66168187500028,9.014341277511877,2,1,0.5,0.04046313685794606
low_ex,Withania,6.65535133333356,6.340014325938304,2,0,0,0.09455087316707197
low_ex,Wolffia,36.5603300000002,28.937049307004852,1,1,1,0.005053088617343148
low_ex,Xanthium,1.92860250000034,1.900942088140648,1,0,0,0.2459317802939218
low_ex,Xeranthemum,1.83398250000028,1.8089470106062335,2,0,0,0.06548627195935108
low_ex,Zannichellia,27.4773450000003,22.90848390399589,5,1,0.2,0.009943752769548724
low_ex,Ziziphora,2.22142136363659,2.184826190893395,2,0,0,0.3445871929314309
low_ex,Ziziphus,33.0092470000002,26.653628976114636,1,0,0,0.008959451947573693
low_ex,Zostera,19.5709320000003,17.117731108828256,2,2,1,0.01002652209328871
low_ex,Zygophyllum,30.3454988333336,24.879807756698625,1,0,0,0.013321215186460426
int_ex,Abies,123.052593833334,22.498112715682144,2,1,0.5,0.00393403129738913
int_ex,Acer,22.4989860000003,15.672331328033952,4,0,0,0.008166708892365955
int_ex,Achillea,1.1563805000004,1.1419948881566375,14,0,0,0.21373059526576854
int_ex,Aconitum,16.4878615000003,12.833186798234983,7,3,0.42857142857142855,0.012958586824140672
int_ex,Actaea,16.4878615000003,12.833186798234983,1,0,0,0.012951406488252331
int_ex,Adenocarpus,1.2264120000004,1.2101933087944126,9,1,0.1111111111111111,0.19935373556052058
int_ex,Adenostyles,4.11959450000023,3.921102485199032,2,1,0.5,0.08542489092457978
int_ex,Adiantum,44.0213056250003,20.711096632692083,1,0,0,0.010441995381649386
int_ex,Adonis,44.7180950000003,20.78997642540172,7,0,0,0.009774450077595295
int_ex,Adoxa,11.7375280000002,9.932218200720564,1,1,1,0.005121064955438792
int_ex,Aegilops,0.524660000000227,0.5217632112259988,4,0,0,0.4520867753697952
int_ex,Aegonychon,1.12204200000017,1.108513687555153,2,1,0.5,0.0825125185118714
int_ex,Aegopodium,11.7228870000001,9.922295753779856,1,0,0,0.05074302893694024
int_ex,Aeluropus,0.710249500000398,0.7049054647896419,1,0,0,0.4407976407966377
int_ex,Aethionema,28.1539090000002,17.639109850231907,4,0,0,0.00853421592538825
int_ex,Aethusa,1.77717800000023,1.742511922575002,1,1,1,0.12111639419742115
int_ex,Agrimonia,28.5289580000003,17.749164915829905,3,0,0,0.009269444401811837
int_ex,Agropyron,1.11377200000017,1.100446088731293,1,0,0,0.1989336217653358
int_ex,Agrostemma,9.9506513333335,8.67508462297202,1,0,0,0.05120200949802683
int_ex,Agrostis,0.285643750000171,0.2847926199479382,21,2,0.09523809523809525,1.3129672056678254
int_ex,Aira,1.84360700000023,1.806223997712162,8,0,0,0.28299003121633826
int_ex,Aizoon,9.38571400000023,8.2581302710793,1,0,0,0.02037460003916588
int_ex,Ajuga,8.19203610000034,7.346124563787033,5,0,0,0.06994555341384637
int_ex,Alchemilla,19.4193670000002,14.325075783322395,84,33,0.3928571428571429,0.010976606832245968
int_ex,Alisma,28.3385940000003,17.69359376448542,2,0,0,0.00840944499163498
int_ex,Alkanna,2.09278600000023,2.044248221895381,2,0,0,0.02875573841223828
int_ex,Allagopappus,1.64508090000034,1.615499621985354,1,0,0,0.3456706861592585
int_ex,Alliaria,9.01467600000023,7.9791574590662195,1,0,0,0.05691564634013065
int_ex,Allium,42.2570992500003,20.495498341082204,33,4,0.12121212121212122,0.017110040593365544
int_ex,Alnus,27.2796219000002,17.373409645098565,1,0,0,0.018242996765493433
int_ex,Alopecurus,0.888125000000171,0.8797168203258385,7,0,0,0.3917659644666328
int_ex,Althaea,3.96762650000028,3.784169953422328,4,0,0,0.09302519637773865
int_ex,Alyssum,4.52348820000023,4.281944699050117,15,4,0.26666666666666666,0.10002870774500254
int_ex,Amaranthus,15.5112370000002,12.287270200331694,3,0,0,0.02893801769369578
int_ex,Amelanchier,3.83976450000028,3.668469917576528,1,0,0,0.060282026907370785
int_ex,Ammi,12.6607713333334,10.545445162912216,2,0,0,0.06102587271224864
int_ex,Ammoides,10.6233370000001,9.15930670312354,1,0,0,0.03745137493591402
int_ex,Ammophila,0.385415400000171,0.3838601138220122,2,0,0,1.075431491650619
int_ex,Ampelodesmos,0.953450000000227,0.9437375447453056,1,0,0,0.3659085677709852
int_ex,Anabasis,6.89426750000023,6.306874543548392,1,0,0,0.05840081360500868
int_ex,Anacamptis,6.55786950000028,6.0294200564831515,1,0,0,0.04653645983661989
int_ex,Anacyclus,1.4227102500004,1.4007428309052248,6,3,0.5,0.18802989151519775
int_ex,Anagallis,7.55408400000017,6.841449590963216,5,1,0.2,0.020730393995897444
int_ex,Anagyris,10.2493110000003,8.891711440561638,1,0,0,0.02111653076591654
int_ex,Anarrhinum,4.62010700000017,4.367594016149504,4,1,0.25,0.0504114614796333
int_ex,Anchusa,3.72008500000017,3.559771695880052,4,1,0.25,0.03380706423000266
int_ex,Andrachne,37.4395560000002,19.773271193913565,1,0,0,0.010841928476077536
int_ex,Androcymbium,9.58780300000029,8.408364582253085,1,1,1,0.012491836364477073
